Published_time,news_content,news_headline
2022-11-21 20:33:00,"Góc nhìn 22/11: Tích lũy trên mức 950 điểm?: Với diễn biến hiện tại, TPS kỳ vọng thị trường sẽ có sự tích lũy trên mức 950 điểm trước khi có sự bứt phá trở lại trên mức tâm lý 1,000 điểm.",Góc nhìn 22/11: Tích lũy trên mức 950 điểm?
2022-11-21 13:23:00,"Chủ tịch HPX cùng người nhà bị nhiều công ty chứng khoán buộc bán giải chấp: Trong bối cảnh thị giá các cổ phiếu ngành bất động sản đang có những ảnh hưởng tiêu cực, lãnh đạo nhiều công ty bất động sản cùng thành viên gia đình...",Chủ tịch HPX cùng người nhà bị nhiều công ty chứng khoán buộc bán giải chấp
2022-11-21 08:14:00,"Chứng khoán chuyển mình từ nguồn lực nội tại, được hay không?: Kết thúc tuần giao dịch, VN-Index vẫn dưới mốc 970 điểm – vùng giá của giai đoạn cuối 2019 đầu 2020 trước khi dịch Covid-19 xảy ra, đã tiếp tục làm...","Chứng khoán chuyển mình từ nguồn lực nội tại, được hay không?"
2022-11-19 17:00:00,"Gỡ ‘vướng’ để nâng tầm thị trường chứng khoán: Thị trường chứng khoán (TTCK) Việt Nam hiện có quy mô vốn hóa lớn hơn nhiều quốc gia thuộc thị trường mới nổi. Theo các chuyên gia, lợi thế về quy mô...",Gỡ ‘vướng’ để nâng tầm thị trường chứng khoán
2022-11-18 13:12:00,"Mặt bằng lãi suất margin mới của công ty chứng khoán: Trước động thái tăng lãi suất của NHNN, các công ty chứng khoán (CTCK) cũng đã điều chỉnh lãi suất giao dịch ký quỹ (margin). Khảo sát 20 CTCK có quy...",Mặt bằng lãi suất margin mới của công ty chứng khoán
2022-11-18 08:00:00,Top cổ phiếu đáng chú ý đầu phiên 18/11: Danh sách các mã cổ phiếu tăng và giảm mạnh nhất những phiên gần đây theo số liệu thống kê của Vietstock.,Top cổ phiếu đáng chú ý đầu phiên 18/11
2022-11-17 12:30:00,"Phân tích kỹ thuật phiên chiều 17/11: Tâm lý lạc quan tiếp diễn: Trong phiên giao dịch buổi sáng ngày 17/11/2022, VN-Index xuất hiện mẫu hình nến Rising Window cho thấy tâm lý nhà đầu tư đã tích cực trở lại trong...",Phân tích kỹ thuật phiên chiều 17/11: Tâm lý lạc quan tiếp diễn
2022-11-16 19:20:00,"Góc nhìn 17/11: Hồi phục ngắn hạn?: VCBS dự báo nếu lực cầu được duy trì tốt, VN-Index sẽ có nhịp phục hồi ngắn trong các phiên tới và đối mặt với kháng cự mạnh quanh vùng 980-1,000.",Góc nhìn 17/11: Hồi phục ngắn hạn?
2022-11-16 10:03:00,Lãnh đạo NLG đăng ký mua cổ phiếu: Ông Nguyễn Xuân Quang - Chủ tịch HĐQT CTCP Đầu tư Nam Long (HOSE: NLG) cùng 2 con trai tiếp tục đăng ký mua thêm cổ phiếu trong thời gian từ...,Lãnh đạo NLG đăng ký mua cổ phiếu
2022-11-15 16:00:00,Tổng Giám đốc Tasco đăng ký mua 2 triệu cp : Ông Hồ Việt Hà - Phó Chủ tịch HĐQT kiêm Tổng Giám đốc CTCP Tasco (HNX: HUT) vừa đăng ký mua 2 triệu cp trong thời gian từ 18/11-16/12/2022 với mục...,Tổng Giám đốc Tasco đăng ký mua 2 triệu cp 
2022-11-15 08:55:00,"Thị giá về đáy 14 tháng, Chủ tịch DGC đăng ký mua 1 triệu cp: Ông Đào Hữu Huyền - Chủ tịch HĐQT CTCP Tập đoàn Hóa chất Đức Giang (HOSE: DGC) vừa đăng ký mua 1 triệu cp DGC nhằm tăng tỷ lệ sở hữu. Giao dịch dự...","Thị giá về đáy 14 tháng, Chủ tịch DGC đăng ký mua 1 triệu cp"
2022-11-14 17:00:00,"Học đầu tư chứng khoán với Talkshow “Bí mật đồng tiền”: Đầu tư chứng khoán chắc chắn không hề dễ dàng. Muốn thành công trên thị trường, nhà đầu tư cần liên tục học hỏi, tích lũy kinh nghiệm thông qua sách...",Học đầu tư chứng khoán với Talkshow “Bí mật đồng tiền”
2022-11-14 13:00:00,"Triển vọng nào dành cho VEA, DHG và GMD?: Các công ty chứng khoán (CTCK) khuyến nghị mua với VEA nhờ thị trường xe hồi phục, lợi nhuận được chia từ Honda và Toyota gia tăng trong 2022-2023;...","Triển vọng nào dành cho VEA, DHG và GMD?"
2022-11-13 20:54:00,"Góc nhìn tuần 14 - 18/11: Thận trọng vì rủi ro giảm vẫn còn: Phiên 11/11 thị trường trong nước kết thúc với gần 140 cổ phiếu đóng cửa ở mức giá sàn là điều đáng suy nghĩ. Theo đó, MBS cho rằng nhà đầu tư vẫn...",Góc nhìn tuần 14 - 18/11: Thận trọng vì rủi ro giảm vẫn còn
2022-11-11 23:46:00,"UBCKNN lý giải về đà giảm của thị trường chứng khoán trong thời gian qua: Theo Ủy ban Chứng khoán Nhà nước (UBCKNN), thị trường chứng khoán Việt Nam biến động mạnh trong thời gian qua xuất phát từ tâm lý thận trọng của nhà...",UBCKNN lý giải về đà giảm của thị trường chứng khoán trong thời gian qua
2022-11-11 11:30:00,"Thành viên HĐQT mua thành công 2.11 triệu cp SP2 : Ông Mai Đình Nhật - Thành viên HĐQT CTCP Thủy điện Sử Pán 2 (UPCoM: SP2) đã mua thành công hơn 2.11 triệu cp SP2, tương đương 10.24% vốn, trong ngày...",Thành viên HĐQT mua thành công 2.11 triệu cp SP2 
2022-11-10 19:30:00,Chứng khoán phái sinh Ngày 11/11/2022: Ngày buồn của phe Long: Các hợp đồng tương lai đồng loạt giảm điểm trong phiên giao dịch ngày 10/11/2022. Basis hợp đồng VN30F2211 mở rộng so với phiên trước đó và đạt giá...,Chứng khoán phái sinh Ngày 11/11/2022: Ngày buồn của phe Long
2022-11-10 13:22:00,Chứng khoán: Nhìn dài hạn sẽ thấy điểm tích cực: Triển vọng thị trường chứng khoán trong dài hạn là tích cực vì nền kinh tế Việt Nam đang trong chu kỳ tăng trưởng khá nhanh so với các nước.,Chứng khoán: Nhìn dài hạn sẽ thấy điểm tích cực
2022-11-10 09:54:00,"Ông Bùi Cao Nhật Quân mua thành công 2 triệu cp NVL: Theo báo cáo giao dịch mới công bố, ông Bùi Cao Nhật Quân (con trai ông Bùi Thành Nhơn - Chủ tịch HĐQT NovaGroup) đã mua thành công 2 triệu cp NVL...",Ông Bùi Cao Nhật Quân mua thành công 2 triệu cp NVL
2022-11-09 17:10:00,Vietstock Daily 10/11/2022: Tâm lý thận trọng trở lại: VN-Index tăng nhẹ trong phiên và hình thành mẫu hình nến Spinning Top. Khối lượng giao dịch cũng sụt giảm xuống dưới trung bình 20 phiên gần nhất cho...,Vietstock Daily 10/11/2022: Tâm lý thận trọng trở lại
2022-11-09 08:00:00,Top cổ phiếu đáng chú ý đầu phiên 09/11: Danh sách các mã cổ phiếu tăng và giảm mạnh nhất những phiên gần đây theo số liệu thống kê của Vietstock.,Top cổ phiếu đáng chú ý đầu phiên 09/11
2022-11-08 15:13:00,"Nhịp đập Thị trường 08/11: Một ngày xanh đẹp: Thị trường chứng khoán không xuống thì lên, không xanh thì đỏ. Ít khi thấy VN-Index đứng giá. Tuy nhiên hôm nay những nhà đầu tư theo dõi kỹ thị...",Nhịp đập Thị trường 08/11: Một ngày xanh đẹp
2022-11-08 10:00:00,"Ngày 08/11/2022: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock: Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: ACV, AGG, BVH, HTN, NLG, STB, MSN, VNM, VIC và VPB.",Ngày 08/11/2022: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock
2022-11-07 18:21:00,"Tự doanh 07/11: Mua ròng hơn 122 tỷ đồng: Phiên 07/11, tự doanh công ty chứng khoán mua ròng hơn 122 tỷ đồng. Trong đó ACV được mua ròng mạnh nhất với gần 35 tỷ đồng. Ở chiều ngược lại, nhiều...",Tự doanh 07/11: Mua ròng hơn 122 tỷ đồng
2022-11-07 10:18:00,"Phó Tổng Giám đốc HPX đã bán thành công 7.75 triệu cp: Ông Đỗ Quý Thành, Phó Tổng Giám đốc CTCP Đầu tư Hải Phát (HOSE: HPX) đồng thời là em trai Chủ tịch HĐQT Đỗ Quý Hải, thông báo đã bán thành công 7.75...",Phó Tổng Giám đốc HPX đã bán thành công 7.75 triệu cp
2022-11-06 18:00:00,"Vietstock Weekly 07-11/11/2022: Triển vọng ngắn hạn tiếp tục bi quan: Trong khung thời gian tuần (31/10-04/11/2022), VN-Index giảm điểm trở lại và hình thành những cây nến xanh đỏ đan xen nhau cho thấy tâm lý giằng co...",Vietstock Weekly 07-11/11/2022: Triển vọng ngắn hạn tiếp tục bi quan
2022-11-04 17:31:00,Chứng khoán Tuần 31/10-04/11/2022: Tiếp tục điều chỉnh: VN-Index tiếp tục lao dốc mạnh trong tuần qua. Dù khối lượng có sự tăng trưởng nhưng khối ngoại lại tiếp tục bán ròng cho thấy triển vọng ngắn hạn...,Chứng khoán Tuần 31/10-04/11/2022: Tiếp tục điều chỉnh
2022-11-04 08:00:00,Top cổ phiếu đáng chú ý đầu phiên 04/11: Danh sách các mã cổ phiếu tăng và giảm mạnh nhất những phiên gần đây theo số liệu thống kê của Vietstock.,Top cổ phiếu đáng chú ý đầu phiên 04/11
2022-11-03 13:00:00,"IDC - Mua với mức giá nào là hợp lý? (Kỳ 2): Tổng Công ty IDICO - CTCP (HNX: IDC) là một doanh nghiệp lớn và hoạt động trong nhiều lĩnh vực. Trong những năm gần đây, IDC định hướng chú trọng...",IDC - Mua với mức giá nào là hợp lý? (Kỳ 2)
2022-11-02 20:00:00,"Thị trường chứng quyền 03/11/2022: Phiên tăng, giảm xen kẽ: Kết thúc phiên giao dịch ngày 02/11/2022, toàn thị trường có 22 mã tăng, 87 mã giảm và 39 mã tham chiếu. Khối ngoại quay lại bán ròng với tổng mức...","Thị trường chứng quyền 03/11/2022: Phiên tăng, giảm xen kẽ"
2022-11-02 08:41:00,"Cảnh báo về việc mạo danh Công ty chứng khoán VIX để lừa đảo: Hiện nay, tình trạng lừa đảo mạo danh Công ty Chứng khoán VIX đang diễn ra dưới nhiều hình thức khác nhau. Nhằm đảm bảo uy tín thương hiệu của Công...",Cảnh báo về việc mạo danh Công ty chứng khoán VIX để lừa đảo
2022-11-01 15:50:00,CTS: Việt Nam sẽ thiếu hụt hơn 13 tỷ kWh điện vào năm 2023: Báo cáo “Triển vọng ngành điện quý 3/2022” do CTCP Chứng khoán Ngân hàng Công thương Việt Nam (HOSE: CTS) công bố dự báo sản lượng điện trên toàn hệ...,CTS: Việt Nam sẽ thiếu hụt hơn 13 tỷ kWh điện vào năm 2023
