Published_time,news_content,news_headline
2023-03-07 21:00:00,"Cổ phiếu nào được giao dịch nhiều nhất trong tháng 2?: Thị trường chứng khoán Việt Nam vừa trải qua giai đoạn không mấy vui vẻ sau Tết Nguyên đán, với chỉ số VN-Index giảm gần 8% trong tháng 2. Vậy bạn có...",Cổ phiếu nào được giao dịch nhiều nhất trong tháng 2?
2023-03-07 15:10:00,"SKG: Người nhà Tổng Giám đốc đăng ký sang tay gần 1.16 triệu cp: Ông Puan Kiong Sii đăng ký bán gần 1.16 triệu cp SKG. Ở chiều ngược lại, vợ ông Puan Kiong Sii là bà Kong Mee Ling đăng ký mua với cùng số lượng cổ...",SKG: Người nhà Tổng Giám đốc đăng ký sang tay gần 1.16 triệu cp
2023-03-07 08:34:00,"Hơn 3,800 tỷ đồng từ quỹ Fubon ETF sắp chảy vào Việt Nam: Quỹ Fubon FTSE Vietnam ETF sắp huy động vốn đợt thứ 5, với quy mô 5 tỷ Tân Đài tệ (tương đương hơn 3,800 ngàn tỷ đồng).","Hơn 3,800 tỷ đồng từ quỹ Fubon ETF sắp chảy vào Việt Nam"
2023-03-06 18:01:00,"Theo dấu dòng tiền cá mập 06/03: Tự doanh và khối ngoại tiếp tục bán ròng: Phiên 06/03, tự doanh công ty chứng khoán và các nhà đầu tư nước ngoài đều bán ròng, giá trị lần lượt là 106.3 tỷ đồng và 110.5 tỷ đồng.",Theo dấu dòng tiền cá mập 06/03: Tự doanh và khối ngoại tiếp tục bán ròng
2023-03-06 11:53:00,"Người nhà thành viên HĐQT sang tay 27 triệu cp VIB : Ông Đỗ Xuân Thụ, cha của ông Đỗ Xuân Hoàng - Thành viên HĐQT Ngân hàng TMCP Quốc tế Việt Nam (HOSE: VIB), đã bán thỏa thuận thành công 27 triệu cp...",Người nhà thành viên HĐQT sang tay 27 triệu cp VIB 
2023-03-06 08:00:00,Top cổ phiếu đáng chú ý đầu tuần 06/03: Danh sách các mã cổ phiếu tăng và giảm mạnh nhất những phiên gần đây theo số liệu thống kê của Vietstock.,Top cổ phiếu đáng chú ý đầu tuần 06/03
2023-03-04 20:00:00,Chứng khoán phái sinh Tuần 06-10/03/2023: Diễn biến khó lường: Các hợp đồng tương lai đồng loạt giảm điểm trong phiên giao dịch ngày 03/03/2023. Basis hợp đồng VN30F2303 mở rộng hơn so với phiên trước đó và đạt...,Chứng khoán phái sinh Tuần 06-10/03/2023: Diễn biến khó lường
2023-03-03 15:21:00,"Nhịp đập Thị trường 03/03: VN-Index đóng cửa giảm gần 13 điểm: Kết phiên VN-Index giảm 12.84 điểm (1.24%) khớp tại mức 1,024.77 điểm với 7,210 tỷ rót vào HOSE. HNX-Index giảm 1.25 điểm, (0.61%) dừng tại mức...",Nhịp đập Thị trường 03/03: VN-Index đóng cửa giảm gần 13 điểm
2023-03-02 19:23:00,"Góc nhìn 03/03: Xu hướng giảm điểm vẫn áp đảo?: Các công ty chứng khoán (CTCK) nhìn chung đều cho rằng xu hướng ngắn hạn của VN-Index sẽ vẫn là giảm điểm, theo đó cơ hội đầu tư ngắn hạn cũng sẽ...",Góc nhìn 03/03: Xu hướng giảm điểm vẫn áp đảo?
2023-03-02 12:26:00,"Phân tích kỹ thuật phiên chiều 02/03: Áp lực bán quay trở lại: Hai chỉ số thị trường tiếp tục biến động trái chiều cho thấy tâm lý nhà đầu tư đang thiếu sự ổn định. Mặt khác, khối lượng giao...",Phân tích kỹ thuật phiên chiều 02/03: Áp lực bán quay trở lại
